,num_source_variables,num_target_variables,max_chain_length,sum_chain_length,chain_strength,chain_break_method,solver,machine,best_sample,best_energy,mean_energy,best_sample_pp,best_energy_pp,mean_energy_pp,vertices,g1_name,g2_name,a,b,start,end
799,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': 1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': 1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': 1}",24.03,24.03,"{'x[0][0]': 1, 'x[3][1]': 0, 'x[0][1]': 0, 'x[3][0]': 0, 'x[0][2]': 0, 'x[3][3]': 0, 'x[0][3]': 0, 'x[3][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 0, 'x[2][3]': 1}",0.0,0.0,4,triangle,empty,1,0.0005,2021-06-22 11:54:45.460989,2021-06-22 11:54:58.605593
800,,,,,,,simulated_annealing,,"{'x[3][1]': 0, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 1, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 0, 'x[2][3]': 1}",0.0,,,,,4,triangle,segment,1,0.1,2021-06-22 11:54:58.650617,2021-06-22 11:54:58.989862
801,16.0,59.0,5.0,59.0,1.745445403041871,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': 1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[1][3]': -1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': 1, 'x[2][3]': -1}",11.200000000000006,23.575600000000005,"{'x[3][1]': 0, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 1, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 0, 'x[2][3]': 1}",0.0,0.22959999999999992,4,triangle,segment,1,0.1,2021-06-22 11:54:59.014295,2021-06-22 11:55:03.962460
802,16.0,30.0,3.0,30.0,1.745445403041871,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': 1, 'x[0][2]': 1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': 1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': -1}",-0.3999999999999977,23.882600000000004,"{'x[3][1]': 0, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 1, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 0, 'x[2][3]': 1}",0.0,0.2732999999999999,4,triangle,segment,1,0.1,2021-06-22 11:55:03.984480,2021-06-22 11:55:09.599729
803,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': 1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': -1, 'x[2][2]': 1, 'x[2][3]': -1}",24.600000000000012,24.600000000000012,"{'x[0][0]': 0, 'x[3][1]': 0, 'x[0][1]': 0, 'x[3][0]': 1, 'x[0][2]': 0, 'x[3][3]': 0, 'x[0][3]': 1, 'x[3][2]': 0, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.0,4,triangle,segment,1,0.1,2021-06-22 11:55:09.624746,2021-06-22 11:55:23.113773
804,,,,,,,simulated_annealing,,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,,,,,4,triangle,segment,1,0.05,2021-06-22 11:55:23.172333,2021-06-22 11:55:23.448032
805,16.0,63.0,5.0,63.0,1.7383611853193797,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': 1, 'x[3][1]': 1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': 1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': 1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': 1}",0.0,22.9608,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.19899999999999993,4,triangle,segment,1,0.05,2021-06-22 11:55:23.469034,2021-06-22 11:55:28.304121
806,16.0,30.0,3.0,30.0,1.7383611853193797,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': 1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': 1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': 1, 'x[2][3]': -1}",-0.09999999999999787,23.5332,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.23229999999999992,4,triangle,segment,1,0.05,2021-06-22 11:55:28.324124,2021-06-22 11:55:33.811896
807,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': 1, 'x[3][1]': 1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[1][3]': 1, 'x[2][0]': -1, 'x[2][1]': -1, 'x[2][2]': 1, 'x[2][3]': -1}",24.300000000000004,24.300000000000004,"{'x[0][0]': 1, 'x[3][1]': 1, 'x[0][1]': 0, 'x[3][0]': 0, 'x[0][2]': 0, 'x[3][3]': 0, 'x[0][3]': 0, 'x[3][2]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 1, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.0,4,triangle,segment,1,0.05,2021-06-22 11:55:33.841921,2021-06-22 11:55:46.068061
808,,,,,,,simulated_annealing,,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,,,,,4,triangle,segment,1,0.01,2021-06-22 11:55:46.130575,2021-06-22 11:55:46.380504
